year,name,accuracy,color
2023,Russell Henly ,72.57,#1f77b4
2022,Brian Stuard,71.32,#ff7f0e
2021,Brendon Todd,75.25,#2ca02c
2020,Ryan Armour,73.86,#d62728
2019,Chez Reavie,75.72,#9467bd
2018,Ryan Armour,73.58,#d62728
2017,Ryan Armour,72.73,#d62728
2016,Colt Knost,73.36,#8c564b
2015,David Toms,74.50,#e377c2
2014,David Toms,75.49,#e377c2
2013,Jerry Kelly,71.81,#17becf
2012,Jerry Kelly,73.00,#17becf
2011,Joe Durant,75.65,#98df8a 
2010,Omar Uresti,76.08,#7f7f7f
2009,Tim Clark,74.06,#bcbd22
2008,Olin Browne,80.42,#ffbb78
2007,Fred Funk,75.26,#dbdb8d
2006,Joe Durant,78.43,#98df8a 
2005,Jeff Hart,75.97,#aec7e8
2004,Fred Funk,77.23,#dbdb8d
2003,Fred Funk,77.86,#dbdb8d
2002,Fred Funk,81.24,#dbdb8d
2001,Joe Durant,81.10,#98df8a 
2000,Fred Funk,79.75,#dbdb8d
1999,Jeff Maggert,81.44,#ff9896
1998,Bruce Fleisher,81.36,#c5b0d5
1997,Allen Doyle,80.81,#c49c94
1996,Fred Funk,78.66,#dbdb8d
1995,Fred Funk,81.32,#dbdb8d
1994,David Edwards,81.61,#9edae5
1993,Doug Tewell,82.48,#ff9896
